Date;Pax
2009-01-01;11111959
2009-02-01;11679913
2009-03-01;13928310
2009-04-01;15784125
2009-05-01;16323582
2009-06-01;17644871
2009-07-01;20484108
2009-08-01;21071052
2009-09-01;17898792
2009-10-01;16458587
2009-11-01;12736930
2009-12-01;12508873
2010-01-01;11437309
2010-02-01;11812115
2010-03-01;14643920
2010-04-01;14440456
2010-05-01;16805184
2010-06-01;18212495
2010-07-01;21214901
2010-08-01;21844771
2010-09-01;18897626
2010-10-01;17867941
2010-11-01;13392622
2010-12-01;12223266
2011-01-01;12119534
2011-02-01;12330473
2011-03-01;15296743
2011-04-01;17376770
2011-05-01;17884668
2011-06-01;19455278
2011-07-01;22638682
2011-08-01;22853447
2011-09-01;20317857
2011-10-01;18273582
2011-11-01;13115750
2011-12-01;12723587
2012-01-01;11769395
2012-02-01;11649359
2012-03-01;14220414
2012-04-01;16111235
2012-05-01;17208947
2012-06-01;19197541
2012-07-01;22062592
2012-08-01;22151572
2012-09-01;19615848
2012-10-01;16998824
2012-11-01;11838942
2012-12-01;11406030
2013-01-01;10694529
2013-02-01;10455726
2013-03-01;13410896
2013-04-01;14868491
2013-05-01;16887839
2013-06-01;18560229
2013-07-01;21059275
2013-08-01;21568118
2013-09-01;19045741
2013-10-01;16891030
2013-11-01;12220664
2013-12-01;11742591
2014-01-01;10959721
2014-02-01;10779086
2014-03-01;13446155
2014-04-01;16246439
2014-05-01;17540838
2014-06-01;19447170
2014-07-01;21907543
2014-08-01;22915141
2014-09-01;20028625
2014-10-01;17732680
2014-11-01;12610177
2014-12-01;12250024
2015-01-01;11537330
2015-02-01;11448684
2015-03-01;14374301
2015-04-01;16808224
2015-05-01;18718372
2015-06-01;20162144
2015-07-01;23105156
2015-08-01;24000644
2015-09-01;21025593
2015-10-01;19126975
2015-11-01;13763621
2015-12-01;13350002
2016-01-01;12958967
2016-02-01;13313211
2016-03-01;16469348
2016-04-01;18001644
2016-05-01;20832263
2016-06-01;22325636
2016-07-01;25674382
2016-08-01;25820992
2016-09-01;23188275
2016-10-01;21448826
2016-11-01;15167108
2016-12-01;15030707
2017-01-01;14251712
2017-02-01;13991764
2017-03-01;17210832
2017-04-01;21025206
2017-05-01;22376830
2017-06-01;24498985
2017-07-01;27565683
2017-08-01;27426487
2017-09-01;25081937
2017-10-01;22842329
2017-11-01;16580715
2017-12-01;16365836
2018-01-01;15496979
2018-02-01;15283462
2018-03-01;19103667
2018-04-01;21632331
2018-05-01;23807495
2018-06-01;25744939
2018-07-01;28446699
2018-08-01;28346258
2018-09-01;26242088
2018-10-01;24326839
2018-11-01;17718779
2018-12-01;17604821
